starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 14 21:35:07 2019	1550180107	157	34	190	31
Thu Feb 14 21:35:08 2019	1550180108	172	19	191	19
Thu Feb 14 21:35:07 2019	1550180107	116	75	191	71
Thu Feb 14 21:35:06 2019	1550180106	150	41	191	40
Thu Feb 14 21:35:08 2019	1550180108	170	23	193	22
Thu Feb 14 21:35:05 2019	1550180105	164	29	194	29
Thu Feb 14 21:35:08 2019	1550180108	170	23	194	22
Thu Feb 14 21:35:06 2019	1550180106	163	32	195	31
Thu Feb 14 21:35:08 2019	1550180108	163	38	201	38
Thu Feb 14 21:35:05 2019	1550180105	186	17	204	17
Thu Feb 14 21:35:08 2019	1550180108	163	42	205	42
Thu Feb 14 21:35:09 2019	1550180109	100	110	211	110
Thu Feb 14 21:35:07 2019	1550180107	180	32	212	31
Thu Feb 14 21:35:09 2019	1550180109	102	111	213	111
Thu Feb 14 21:35:05 2019	1550180105	183	32	216	31
Thu Feb 14 21:35:09 2019	1550180109	155	64	220	64
Thu Feb 14 21:35:09 2019	1550180109	156	66	222	65
Thu Feb 14 21:35:05 2019	1550180105	82	142	223	141
Thu Feb 14 21:35:05 2019	1550180105	82	142	223	142
Thu Feb 14 21:35:05 2019	1550180105	196	30	225	29
Thu Feb 14 21:35:05 2019	1550180105	193	33	226	33
Thu Feb 14 21:35:09 2019	1550180109	200	26	226	26
Thu Feb 14 21:35:05 2019	1550180105	81	147	228	145
Thu Feb 14 21:35:09 2019	1550180109	203	25	228	25
Thu Feb 14 21:35:05 2019	1550180105	82	147	229	145
Thu Feb 14 21:35:09 2019	1550180109	203	26	229	26
Thu Feb 14 21:35:05 2019	1550180105	139	94	233	91
Thu Feb 14 21:35:09 2019	1550180109	200	37	236	26
Thu Feb 14 21:35:09 2019	1550180109	218	19	237	19
Thu Feb 14 21:35:08 2019	1550180108	213	29	242	29
Thu Feb 14 21:35:08 2019	1550180108	213	30	243	29
Thu Feb 14 21:35:05 2019	1550180105	133	112	244	111
Thu Feb 14 21:35:05 2019	1550180105	133	112	244	111
Thu Feb 14 21:35:05 2019	1550180105	181	63	245	63
Thu Feb 14 21:35:05 2019	1550180105	213	34	247	34
Thu Feb 14 21:35:09 2019	1550180109	183	68	250	67
Thu Feb 14 21:35:05 2019	1550180105	203	49	252	49
Thu Feb 14 21:35:08 2019	1550180108	231	27	258	25
Thu Feb 14 21:35:04 2019	1550180104	169	91	260	91
Thu Feb 14 21:35:05 2019	1550180105	150	112	261	111
Thu Feb 14 21:35:04 2019	1550180104	259	31	289	30
Thu Feb 14 21:35:04 2019	1550180104	259	31	290	31
Thu Feb 14 21:35:04 2019	1550180104	259	32	291	32
Thu Feb 14 21:35:04 2019	1550180104	259	32	291	31
Thu Feb 14 21:35:08 2019	1550180108	63	239	302	239
Thu Feb 14 21:35:04 2019	1550180104	259	46	305	46
Thu Feb 14 21:35:08 2019	1550180108	64	245	309	245
Thu Feb 14 21:35:05 2019	1550180105	230	91	321	91
Thu Feb 14 21:35:04 2019	1550180104	258	66	324	66
Thu Feb 14 21:35:04 2019	1550180104	258	90	349	90
Thu Feb 14 21:35:04 2019	1550180104	258	100	359	100
Thu Feb 14 21:35:04 2019	1550180104	259	128	387	127
Thu Feb 14 21:35:09 2019	1550180109	143	386	529	385
Thu Feb 14 21:35:05 2019	1550180105	175	568	743	568
